Exercise,SAT,Pulse,Piercings,Grade,Sex
10,1210,54,0,B,Male
4,1150,66,3,C,Female
14,1110,130,0,C,Male
3,1120,78,0,B,Male
3,1170,40,6,B,Female
5,1150,80,4,B,Female
10,1320,94,8,B,Female
13,1370,77,0,B,Male
3,1100,60,7,B,Female
12,1370,94,2,A,Female
12,1170,63,2,C,Female
12,1150,54,0,B,Male
6,1300,66,4,B,Female
10,1200,59,4,A,Female
3,1200,88,4,B,Female
7,1350,59,0,B,Male
2,1410,64,2,B,Female
14,1000,72,5,B,Female
10,1190,74,2,B,Female
14,1130,70,2,B,Female
20,1180,58,0,B,Male
7,1200,48,0,B,Male
12,1230,74,0,B,Male
10,1420,60,0,A,Male
6,1200,74,2,B,Female
14,1150,70,0,B,Male
12,1110,74,0,C,Male
10,1000,60,0,B,Male
8,1230,55,0,B,Male
0,1260,82,1,A,Female
10,1060,68,0,B,Male
6,1280,83,0,B,Male
5,1010,53,2,C,Female
24,1140,72,4,B,Female
2,1200,86,0,B,Male
10,1070,67,4,C,Female
6,1350,89,2,A,Female
5,1140,48,4,C,Female
5,1220,64,0,B,Male
12,1120,73,7,C,Female
2,1050,80,2,B,Female
7,1040,85,5,B,Female
15,1240,60,0,B,Male
5,1240,61,0,B,Male
7,1110,80,0,B,Male
15,1320,70,0,B,Male
8,1230,61,0,B,Male
14,1200,58,2,B,Female
4,1370,88,4,A,Female
15,1320,68,1,B,Male
4,940,68,0,C,Male
15,980,35,0,B,Male
3,1220,90,0,B,Male
3,1260,88,4,B,Female
15,1260,67,2,A,Female
20,1010,71,2,B,Female
3,1250,68,2,B,Female
6,1270,73,0,B,Male
12,1200,55,2,A,Male
20,1200,96,0,B,Male
10,1250,73,5,B,Female
10,1200,60,1,B,Male
4,1180,80,0,C,Male
9,1300,96,0,B,Male
12,1080,49,0,B,Male
2,1180,62,5,B,Female
15,1240,68,6,B,Female
10,1310,52,5,B,Female
7,1180,71,2,C,Female
3,1260,72,2,B,Female
8,1220,77,4,B,Female
5,1140,68,2,B,Female
10,1300,60,0,C,Male
15,1280,65,0,B,Male
5,1040,84,3,B,Female
6,1280,80,7,A,Female
18,1080,66,1,C,Female
16,1110,70,7,B,Female
4,1240,70,0,B,Male
3,1100,72,3,A,Female
5,1140,69,0,B,Male
10,1140,89,0,B,Male
2,1180,79,2,B,Female
4,1480,98,4,B,Female
14,1220,48,0,C,Male
7,1250,71,0,B,Male
14,1200,67,2,B,Female
3,1250,66,0,C,Male
5,1150,66,0,A,Male
15,1370,60,0,B,Male
5,1200,77,2,B,Female
4,1250,80,2,B,Female
8,1120,70,0,A,Male
14,1390,65,0,B,Male
5,1350,57,0,B,Male
15,1370,84,0,B,Male
3,1470,56,0,B,Male
12,1180,69,4,B,Female
12,1250,62,0,B,Male
6,1260,79,0,B,Male
2,1250,55,0,B,Male
3,1350,89,0,A,Female
24,1240,78,0,C,Male
3,950,83,5,B,Female
6,1550,58,3,B,Female
12,1150,77,4,A,Female
18,1100,50,1,C,Male
2,1220,87,0,B,Male
12,1210,74,7,B,Female
5,1200,76,7,B,Female
3,1140,50,0,C,Male
3,1200,70,0,B,Male
21,1010,84,0,B,Male
12,1250,68,2,B,Female
3,1120,66,0,C,Male
20,1280,76,0,B,Male
8,1230,65,0,B,Male
2,850,65,4,C,Female
15,1300,68,0,B,Male
6,1220,78,2,B,Female
2,1090,74,2,B,Female
1,1320,76,4,B,Female
13,1100,79,5,B,Female
12,1230,81,4,A,Female
10,1270,56,2,B,Female
10,1110,48,0,B,Male
10,1060,68,4,B,Female
3,1240,62,2,B,Female
2,1070,70,2,B,Female
10,1150,46,0,C,Male
4,1110,88,2,B,Female
8,1060,68,0,B,Male
18,1060,74,0,B,Male
5,1200,88,2,B,Female
4,820,67,3,B,Female
20,1170,61,0,B,Female
14,860,62,0,B,Male
8,1255,69,0,B,Male
4,1130,59,5,B,Female
5,1078,79,2,B,Female
14,1200,56,0,B,Male
4,1230,85,2,B,Female
15,1220,69,0,C,Male
12,1230,61,2,B,Female
10,1030,95,7,B,Female
6,1060,58,2,B,Female
12,1240,57,2,B,Female
10,1240,80,2,B,Female
5,1470,69,2,B,Female
18,1160,73,0,C,Male
10,1310,62,0,B,Male
8,1320,64,0,B,Male
8,1070,86,2,B,Female
3,1230,73,0,B,Male
5,1330,71,0,B,Male
4,1250,72,0,B,Male
8,970,84,4,C,Male
3,1090,120,4,B,Female
12,1350,77,6,B,Female
5,1360,80,4,A,Female
5,1190,80,4,B,Female
15,1260,54,8,B,Female
10,1350,54,0,C,Male
10,1190,78,0,B,Male
10,1150,72,2,B,Female
14,1130,78,0,B,Male
6,1220,69,2,B,Female
4,1240,80,0,B,Male
14,1000,76,7,B,Female
5,1100,74,5,B,Female
16,1250,70,0,A,Female
14,1140,72,2,B,Female
10,1150,60,0,B,Male
11,1170,71,0,B,Male
4,1200,70,0,B,Female
12,1290,53,1,B,Male
5,1150,70,0,B,Male
8,1140,75,0,B,Male
8,1380,84,2,A,Female
3,1210,66,0,B,Male
8,1380,72,4,A,Female
20,1290,70,0,B,Male
10,1100,49,0,B,Male
3,1420,81,5,B,Female
4,1260,77,0,B,Male
8,1240,72,1,C,Male
14,1100,60,0,B,Female
14,1250,64,0,B,Male
12,1270,65,2,B,Female
6,1470,72,2,B,Female
3,1390,54,6,B,Female
12,1200,82,2,B,Female
5,1230,82,0,C,Male
8,1100,62,0,B,Male
1,1240,52,0,B,Male
7,1110,55,5,B,Female
5,1100,63,0,B,Male
10,1280,78,2,B,Female
12,1200,65,3,B,Female
15,1150,64,0,B,Male
7,1170,70,2,B,Female
15,1190,71,0,B,Male
10,1260,54,0,B,Male
15,1190,71,0,B,Male
12,1430,54,0,B,Male
10,1340,70,0,B,Male
12,1380,65,0,B,Male
5,900,82,0,B,Male
14,1370,63,2,B,Female
3,1060,71,4,B,Female
12,1190,75,0,B,Male
15,1300,60,5,B,Female
3,1110,54,2,C,Female
25,1250,68,0,B,Female
5,1220,70,0,B,Male
6,1260,90,0,B,Male
27,1210,72,0,B,Male
8,1340,41,2,A,Female
3,1420,80,0,B,Female
17,1280,68,0,B,Male
5,1040,78,0,B,Male
0,1540,65,0,A,Male
27,1400,64,9,B,Female
3,1400,78,0,B,Male
3,1000,42,0,B,Male
11,1250,60,6,B,Female
2,1220,59,0,B,Male
9,1030,54,4,B,Female
12,1220,70,0,A,Male
15,1400,52,0,B,Male
2,1420,88,0,B,Male
20,1110,60,5,B,Male
12,1240,66,5,B,Male
5,1200,55,0,B,Male
10,1330,74,0,A,Male
2,1370,59,0,B,Male
12,1270,84,0,B,Male
5,1040,68,0,B,Female
3,1110,74,2,B,Female
12,1200,58,0,B,Male
8,1230,62,0,B,Male
8,1530,84,0,A,Male
5,1300,72,0,B,Male
6,1130,52,0,B,Male
10,1280,68,0,A,Male
18,1330,71,2,B,Female
12,1280,55,2,A,Female
10,1180,68,0,B,Male
10,1340,61,0,B,Male
5,1240,80,0,B,Male
7,1150,66,5,B,Female
3,1180,70,0,B,Male
7,1410,78,4,B,Female
3,1250,88,2,B,Female
4,1410,72,2,B,Female
8,1150,65,5,B,Female
7,1190,63,5,B,Female
7,1240,70,0,B,Male
3,1470,72,0,A,Male
14,1150,68,0,B,Male
5,1090,64,1,B,Male
14,1140,64,6,B,Female
5,1080,60,0,C,Male
5,1420,68,6,B,Female
2,920,70,2,B,Female
1,1120,63,4,B,Female
15,1180,57,0,B,Male
5,1260,84,2,B,Female
5,1260,74,5,B,Male
15,1230,61,0,B,Male
5,1240,78,5,B,Female
20,1210,65,0,B,Male
3,1220,68,0,B,Female
7,1140,76,6,B,Female
20,1270,54,0,B,Male
10,1200,56,3,B,Female
6,1170,88,0,B,Male
6,1140,77,3,B,Female
10,1120,52,1,B,Male
9,1080,62,0,B,Male
1.5,1040,80,2,B,Female
20,1200,60,0,B,Male
21,1230,51,0,B,Male
10,1100,81,2,B,Female
8,1310,62,0,B,Male
10,1300,84,0,B,Male
18,1120,75,5,B,Female
15,1230,60,0,B,Male
8,1400,76,10,B,Female
6,980,65,0,B,Male
12,1440,65,0,B,Male
10,1310,64,2,B,Female
7,1050,75,7,C,Female
5,1230,93,2,B,Female
6,1270,75,2,B,Female
5,1260,82,0,B,Male
5,1170,80,2,A,Female
30,1050,69,0,B,Male
5,1100,85,2,B,Female
12,1350,76,0,B,Male
0,1240,76,0,B,Male
12,1250,65,0,C,Male
0,1130,67,4,B,Female
15,1170,64,8,B,Female
18,980,71,0,B,Male
12,1110,65,2,B,Female
2,1360,83,0,B,Male
12,1200,65,0,C,Male
3,1310,77,0,B,Male
3,1260,66,0,B,Male
4,1180,62,0,B,Male
12,1220,58,4,B,Female
25,1040,48,3,C,Male
3,1190,61,0,B,Male
6,1150,50,0,B,Male
7,1200,72,2,B,Female
7,1210,74,0,B,Male
6,1200,80,0,B,Male
6,1250,90,0,B,Male
13,890,72,6,C,Female
25,1040,64,0,B,Male
8,1140,72,0,B,Male
5,1130,70,0,B,Male
11,1210,84,0,B,Male
18,1260,87,4,B,Female
6,1150,60,0,B,Male
2,1290,80,5,B,Female
5,1150,70,0,B,Male
5,1150,78,4,B,Female
6,1090,75,0,B,Male
10,1110,42,5,B,Female
4,1430,80,0,B,Male
5,1360,72,2,A,Female
17,1320,96,6,B,Female
7,1330,95,0,B,Male
2,1090,80,3,B,Female
8,1220,74,0,B,Male
1,990,78,2,B,Female
14,1100,72,0,C,Male
12,1010,91,5,C,Female
